"Year","Stage","Variable","Coefficient","SE","Z_value","P_value"
"2017-2018","2SRI_Stage2_ANC","media_exposure",-0.0578582426317436,0.0647203455311001,-0.893973018174646,0.371336327751374
"2017-2018","2SRI_Stage2_ANC","mother_working",0.0472868664272681,0.0905010228468801,0.522500905954106,0.601321615839473
"2017-2018","2SRI_Stage2_ANC","pregnancy_terminated",-0.00895087134038817,0.115974401748396,-0.077179715570397,0.938480578137061
"2017-2018","2SRI_Stage2_ANC","resid_anc",-0.427339083444208,0.352307428278429,-1.21297210658437,0.225140485133037
"2022","2SRI_Stage2_ANC","(Intercept)",-0.118292112735966,0.286947726359029,-0.412242725310737,0.680161524041621
"2022","2SRI_Stage2_ANC","anc_4plus",-0.838546292915839,0.40449920169562,-2.07304807871249,0.0381678053376261
"2022","2SRI_Stage2_ANC","c_section_yes",-0.255543067716682,0.0986596863316703,-2.59014676833258,0.00959350205302598
"2022","2SRI_Stage2_ANC","birth_single",-1.150373843845,0.2383725723222,-4.82594886080298,1.39338262026795e-06
"2022","2SRI_Stage2_ANC","contraceptive_type",-0.246689208117226,0.0350733419874421,-7.03352444159878,2.01380678820779e-12
"2022","2SRI_Stage2_ANC","mother_education",0.13839848821877,0.0770950711560121,1.79516648916119,0.0726271778739712
"2022","2SRI_Stage2_ANC","partner_edu",-0.0704018825844972,0.0615543996929075,-1.14373437050364,0.252733814757667
"2022","2SRI_Stage2_ANC","media_exposure",-0.0374085568746985,0.0737713508143712,-0.507087866248086,0.612093168299566
"2022","2SRI_Stage2_ANC","mother_working",0.225237704474809,0.0978768528321857,2.30123566458547,0.0213783140109798
"2022","2SRI_Stage2_ANC","pregnancy_terminated",0.280146922993828,0.104532598713718,2.67999577587335,0.00736230892378197
"2022","2SRI_Stage2_ANC","resid_anc",0.876842518532608,0.415621671508451,2.10971318061979,0.0348830684923343
